pts,elo_i,opp_pts,elo_n
66,1300,68,1293.2767
68,1300,66,1306.7233
63,1300,47,1309.6521
47,1306.7233,63,1297.0712
33,1300,50,1279.6189
50,1300,33,1320.3811
53,1300,59,1294.8458
59,1300,53,1305.1542
51,1300,56,1295.3092
56,1300,51,1304.6908
60,1293.2767,71,1286.1534
71,1300,60,1307.1233
56,1295.3092,71,1277.9456
71,1320.3811,56,1337.7448
55,1294.8458,57,1288.4139
57,1309.6521,55,1316.084
53,1304.6908,49,1312.8473
49,1279.6189,53,1271.4624
75,1277.9456,81,1273.2786
81,1300,75,1304.667
73,1305.1542,65,1311.5032
65,1316.084,73,1309.735
63,1312.8473,68,1302.5988
68,1297.0712,63,1307.3197
73,1286.1534,71,1289.1691
71,1271.4624,73,1268.4468
54,1289.1691,62,1283.6519
62,1309.735,54,1315.2522
46,1288.4139,69,1275.2767
69,1268.4468,46,1281.584
76,1311.5032,66,1317.3143
66,1273.2786,76,1267.4674
70,1302.5988,69,1305.7323
69,1337.7448,70,1334.6112
92,1307.1233,68,1321.1034
68,1334.6112,92,1320.6311
78,1315.2522,68,1329.3558
68,1307.3197,78,1293.2161
84,1267.4674,71,1277.5587
71,1317.3143,84,1307.223
61,1275.2767,71,1269.8861
71,1329.3558,61,1334.7465
68,1281.584,70,1275.3634
70,1307.223,68,1313.4436
68,1304.667,65,1308.6625
65,1320.6311,68,1316.6356
62,1269.8861,64,1267.1501
64,1305.7323,62,1308.4683
68,1313.4436,85,1302.3401
85,1283.6519,68,1294.7554
49,1294.7554,53,1290.0051
53,1267.1501,49,1271.9004
73,1316.6356,65,1329.9454
65,1334.7465,73,1321.4366
64,1293.2161,62,1296.2185
62,1277.5587,64,1274.5563
70,1275.3634,59,1291.9098
59,1302.3401,70,1285.7937
83,1308.4683,74,1315.3256
74,1321.1034,83,1314.2461
76,1314.2461,78,1307.6647
78,1321.4366,76,1328.0181
61,1296.2185,57,1300.3541
57,1291.9098,61,1287.7742
48,1290.0051,54,1284.491
54,1274.5563,48,1280.0704
63,1308.6625,66,1301.0356
66,1315.3256,63,1322.9524
74,1307.6647,72,1313.9331
72,1284.491,74,1278.2225
54,1280.0704,53,1285.8223
53,1287.7742,54,1282.0223
72,1300.3541,69,1304.5542
69,1328.0181,72,1323.818
54,1329.9454,51,1333.5576
51,1322.9524,54,1319.3402
53,1271.9004,65,1257.9297
65,1319.3402,53,1333.3109
63,1301.0356,65,1294.7595
65,1323.818,63,1330.0941
66,1333.5576,58,1344.4468
58,1285.7937,66,1274.9045
82,1257.9297,83,1255.4705
83,1278.2225,82,1280.6818
46,1255.4705,54,1250.1028
54,1282.0223,46,1287.39
76,1313.9331,82,1308.5621
82,1304.5542,76,1309.9252
59,1274.9045,65,1265.9526
65,1333.3109,59,1342.2628
74,1344.4468,50,1353.6788
50,1280.6818,74,1271.4497
55,1330.0941,68,1310.8802
68,1287.39,55,1306.6039
60,1285.8223,62,1282.9152
62,1308.5621,60,1311.4692
71,1265.9526,59,1281.3928
59,1250.1028,71,1234.6626
62,1309.9252,46,1327.9469
46,1282.9152,62,1264.8934
66,1306.6039,46,1317.7588
46,1311.4692,66,1300.3143
66,1294.7595,54,1300.6316
54,1234.6626,66,1228.7905
68,1271.4497,78,1260.3845
78,1353.6788,68,1364.744
60,1342.2628,67,1336.293
67,1327.9469,60,1333.9167
60,1300.3143,62,1296.5641
62,1264.8934,60,1268.6437
75,1364.744,67,1369.4651
67,1310.8802,75,1306.1592
55,1268.6437,59,1263.6439
59,1228.7905,55,1233.7903
75,1336.293,72,1343.3895
72,1306.1592,75,1299.0626
55,1300.6316,68,1284.4366
68,1317.7588,55,1333.9537
58,1281.3928,60,1275.6881
60,1333.9167,58,1339.6215
72,1260.3845,87,1243.6194
87,1296.5641,72,1313.3292
64,1339.6215,60,1342.8893
60,1284.4366,64,1281.1688
65,1243.6194,79,1236.2073
79,1275.6881,65,1283.1002
60,1343.3895,57,1346.9624
57,1333.9537,60,1330.3809
49,1369.4651,40,1373.3796
40,1263.6439,49,1259.7294
56,1233.7903,66,1228.6831
66,1299.0626,56,1304.1698
47,1330.3809,49,1326.9114
49,1313.3292,47,1316.7987
44,1259.7294,46,1252.3871
46,1228.6831,44,1236.0254
68,1283.1002,76,1276.9966
76,1281.1688,68,1287.2725
57,1326.9114,70,1319.3087
70,1342.8893,57,1350.4919
57,1304.1698,46,1317.2023
46,1252.3871,57,1239.3546
80,1373.3796,62,1379.8049
62,1276.9966,80,1270.5713
61,1236.0254,65,1229.3071
65,1319.3087,61,1326.027
61,1317.2023,65,1306.269
65,1236.2073,61,1247.1405
51,1350.4919,62,1340.9235
62,1287.2725,51,1296.8409
55,1239.3546,66,1234.9664
66,1346.9624,55,1351.3506
65,1229.3071,90,1210.9467
90,1340.9235,65,1359.2839
86,1306.269,78,1312.6069
78,1316.7987,86,1310.4608
59,1270.5713,68,1256.0878
68,1247.1405,59,1261.624
47,1351.3506,57,1334.5652
57,1296.8409,47,1313.6263
64,1326.027,75,1320.2988
